data,cd,grupo,indicador,valor
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,
03/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,
03/06/2025,RS,5. Retorno para Reembarque,Retoro para Reembarque,
03/06/2025,RS,5. Retorno para Reembarque,Exclusão de Romaneio,
03/06/2025,RS,5. Retorno para Reembarque,Total Atrasos,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,
03/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,
03/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,
